DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,7921,1010,1,1,0,0
1,21718,1400,1,1,0,0
1,5208,452,1,1,0,0
1,10172,1216,1,1,0,0
1,7925,698,1,1,0,0
1,5631,626,1,1,0,0
1,9166,1019,1,1,0,0
1,7696,774,1,1,0,0
1,15128,1749,1,1,0,0
1,12190,1498,1,1,0,0
1,15347,1282,1,1,0,0
1,10612,960,1,1,0,0
1,11325,1017,1,1,0,0
1,4321,973,1,1,0,0
1,9092,753,1,1,0,0
1,5775,667,1,1,0,0
1,8211,577,1,1,0,0
1,10495,989,1,1,0,0
1,15996,1019,1,1,0,0
1,7892,579,1,1,0,0
1,7813,646,1,1,0,0
1,6994,847,1,1,0,0
1,8782,763,1,1,0,0
1,7791,540,1,1,0,0
1,6886,574,1,1,0,0
1,8952,663,1,1,0,0
1,9219,897,1,1,0,0
1,8330,586,1,1,0,0
1,9113,697,1,1,0,0
1,11035,950,1,1,0,0
1,12151,1227,1,1,0,0
1,8648,985,1,1,0,0
1,9876,1123,1,1,0,0
1,9454,1134,1,1,0,0
1,7190,748,1,1,0,0
1,10425,975,1,1,0,0
1,10415,929,1,1,0,0
1,10628,798,1,1,0,0
1,6427,659,1,1,0,0
1,9721,1148,1,1,0,0
1,6875,657,1,1,0,0
1,4995,362,1,1,0,0
1,9350,850,1,1,0,0
1,10405,1327,1,1,0,0
1,8859,753,1,1,0,0
1,5744,559,1,1,0,0
1,4249,416,1,1,0,0
1,12093,1026,1,1,0,0
1,10394,747,1,1,0,0
1,13071,974,1,1,0,0
1,9995,1056,1,1,0,0
1,7988,702,1,1,0,0
1,11593,1032,1,1,0,0
1,8138,769,1,1,0,0
1,6350,603,1,1,0,0
1,15898,1214,1,1,0,0
1,6581,601,1,1,0,0
1,11922,907,1,1,0,0
1,9843,974,1,1,0,0
1,18034,2290,1,1,0,0
1,7316,631,1,1,0,0
1,8527,837,1,1,0,0
1,9441,718,1,1,0,0
1,9245,1053,1,1,0,0
1,8347,776,1,1,0,0
1,6820,513,1,1,0,0
1,10723,1194,1,1,0,0
1,6347,678,1,1,0,0
1,10615,795,1,1,0,0
1,5557,532,1,1,0,0
1,8039,969,1,1,0,0
1,6197,720,1,1,0,0
1,6759,627,1,1,0,0
1,21989,3252,1,1,0,0
1,20473,2483,1,1,0,0
1,5658,407,1,1,0,0
1,10398,798,1,1,0,0
1,6899,786,1,1,0,0
1,9419,888,1,1,0,0
1,8503,1051,1,1,0,0
1,14602,971,1,1,0,0
1,12368,975,1,1,0,0
1,6350,565,1,1,0,0
1,9577,797,1,1,0,0
1,6173,461,1,1,0,0
1,10193,734,1,1,0,0
1,11069,1006,1,1,0,0
1,10251,651,1,1,0,0
1,9856,696,1,1,0,0
1,8008,705,1,1,0,0
1,7846,1817,1,1,0,0
1,12134,877,1,1,0,0
1,12050,1343,1,1,0,0
1,6585,480,1,1,0,0
1,11258,1343,1,1,0,0
1,16117,1525,1,1,0,0
1,8491,716,1,1,0,0
1,10111,963,1,1,0,0
1,7898,678,1,1,0,0
1,14387,1499,1,1,0,0
1,10397,1193,1,1,0,0
1,6250,672,1,1,0,0
1,8086,779,1,1,0,0
1,11199,916,1,1,0,0
1,8163,712,1,1,0,0
1,18145,1043,1,1,0,0
1,8165,644,1,1,0,0
1,11191,791,1,1,0,0
1,9863,706,1,1,0,0
1,13790,997,1,1,0,0
1,4988,319,1,1,0,0
1,10670,1121,1,1,0,0
1,14990,1114,1,1,0,0
1,11890,1207,1,1,0,0
1,10675,1107,1,1,0,0
1,9195,1241,1,1,0,0
1,5751,630,1,1,0,0
1,19180,1568,1,1,0,0
1,14603,1363,1,1,0,0
1,11680,854,1,1,0,0
1,21828,2581,1,1,0,0
1,16494,1618,1,1,0,0
1,10403,816,1,1,0,0
1,9958,732,1,1,0,0
1,14603,1505,1,1,0,0
1,15412,1447,1,1,0,0
1,16066,1306,1,1,0,0
1,9033,950,1,1,0,0
1,11881,1012,1,1,0,0
1,9328,800,1,1,0,0
1,12163,868,1,1,0,0
1,5164,642,1,1,0,0
1,15456,1500,1,1,0,0
1,8566,990,1,1,0,0
1,7426,697,1,1,0,0
1,7256,667,1,1,0,0
1,13892,1627,1,1,0,0
1,11886,991,1,1,0,0
1,7352,672,1,1,0,0
1,10625,938,1,1,0,0
1,6930,742,1,1,0,0
1,8056,743,1,1,0,0
1,8491,604,1,1,0,0
1,5456,394,1,1,0,0
1,7789,581,1,1,0,0
1,7656,697,1,1,0,0
1,10265,1054,1,1,0,0
1,14678,945,1,1,0,0
1,9698,662,1,1,0,0
1,8723,1000,1,1,0,0
1,8724,568,1,1,0,0
1,8274,635,1,1,0,0
1,10617,1032,1,1,0,0
1,8429,725,1,1,0,0
1,7664,1062,1,1,0,0
1,5999,478,1,1,0,0
1,11205,1100,1,1,0,0
1,6319,528,1,1,0,0
1,13252,1906,1,1,0,0
1,11315,1061,1,1,0,0
1,4847,584,1,1,0,0
1,6945,740,1,1,0,0
1,11051,1027,1,1,0,0
1,6335,492,1,1,0,0
1,6761,495,1,1,0,0
1,11339,813,1,1,0,0
1,11850,1161,1,1,0,0
1,7482,724,1,1,0,0
1,12024,823,1,1,0,0
1,4488,471,1,1,0,0
1,8337,891,1,1,0,0
1,8627,716,1,1,0,0
1,8693,787,1,1,0,0
1,11501,1223,1,1,0,0
1,7657,786,1,1,0,0
1,8662,868,1,1,0,0
1,6834,596,1,1,0,0
1,8556,689,1,1,0,0
1,12055,1298,1,1,0,0
1,8736,1200,1,1,0,0
1,7406,853,1,1,0,0
1,7018,714,1,1,0,0
1,12863,957,1,1,0,0
1,15523,1844,1,1,0,0
1,10432,1020,1,1,0,0
1,7603,568,1,1,0,0
1,6217,462,1,1,0,0
1,8386,843,1,1,0,0
1,9501,1021,1,1,0,0
1,10463,572,1,1,0,0
1,8571,1110,1,1,0,0
1,6738,530,1,1,0,0
1,9558,816,1,1,0,0
1,14206,1521,1,1,0,0
1,5685,439,1,1,0,0
1,5875,504,1,1,0,0
